waktu,line,soil_ec,soil_humidity,soil_temperature,co2,air_humidity,pressure,air_temperature
2023-06-29 06:10:31.396,1,346,28.45,23.5,635.0,61.0,1010.7,24.5
2023-06-29 06:20:32.773,1,340,28.45,23.5,635.0,61.0,1010.7,24.5
2023-06-29 13:01:27.513,1,199,24.8,26.2,472.0,39.5,1010.9,41.2
2023-06-29 13:11:28.886,1,195,25.17,26.3,467.0,46.0,1010.8,40.2
2023-06-29 13:19:01.630,1,0,6.81,29.0,463.0,38.0,1010.6,39.7
2023-06-29 13:29:02.669,1,439,23.82,27.6,436.0,35.0,1010.6,39.4
2023-06-29 13:39:04.017,1,459,23.5,27.2,427.0,33.0,1010.3,39.8
2023-06-29 13:49:05.390,1,471,23.41,27.2,450.0,32.5,1010.1,38.7
2023-06-29 13:59:06.776,1,478,23.41,27.2,472.0,30.0,1010.1,40.6
2023-06-29 14:04:16.101,2,723,31.9,29.1,472.0,30.0,1010.1,40.6
2023-06-29 14:09:08.127,1,484,23.35,27.3,442.0,31.5,1010.0,35.9
2023-06-29 14:14:17.491,2,723,31.9,29.0,442.0,31.5,1010.0,35.9
2023-06-29 14:19:09.488,1,490,23.35,27.3,442.0,35.0,1009.9,34.9
2023-06-29 14:24:18.856,2,723,31.74,29.0,442.0,35.0,1009.9,34.9
2023-06-29 14:29:10.853,1,494,23.35,27.4,433.0,35.0,1009.9,34.7
2023-06-29 14:34:20.229,2,722,31.74,29.0,433.0,35.0,1009.9,34.7
2023-06-29 14:39:12.222,1,499,23.35,27.5,443.0,34.5,1009.7,34.2
2023-06-29 14:49:13.603,1,502,23.35,27.6,442.0,35.0,1009.7,33.6
2023-06-29 14:54:22.965,2,723,31.61,28.9,442.0,35.0,1009.7,33.6
2023-06-29 14:59:14.968,1,505,23.29,27.7,433.0,35.0,1009.6,33.8
2023-06-29 15:04:24.328,2,720,31.55,28.8,433.0,35.0,1009.6,33.8
2023-06-29 15:09:16.334,1,507,23.29,27.8,456.0,35.0,1009.5,34.2
2023-06-29 15:14:25.689,2,720,31.48,28.8,456.0,35.0,1009.5,34.2
2023-06-29 15:19:17.704,1,509,23.29,27.9,448.0,34.5,1009.4,34.5
2023-06-29 15:24:27.071,2,721,31.48,28.7,448.0,34.5,1009.4,34.5
2023-06-29 15:29:19.060,1,510,23.35,28.0,448.0,36.0,1009.2,34.5
2023-06-29 15:34:28.426,2,722,31.41,28.7,448.0,36.0,1009.2,34.5
